"","uid","site_id","date_col","visit_no","state","analyte","result","source"
"4052",6977,"NLA12_IA-152","7/5/2012",1,"IA","ptl",240,"NLA 2012"
"4053",6977,"NLA12_IA-152","7/5/2012",1,"IA","turb",4.52,"NLA 2012"
"4054",6815,"NLA12_IA-R01","6/27/2012",1,"IA","ntl",0.623,"NLA 2012"
"4055",6815,"NLA12_IA-R01","6/27/2012",1,"IA","ptl",46,"NLA 2012"
"4056",6815,"NLA12_IA-R01","6/27/2012",1,"IA","turb",3.51,"NLA 2012"
"4057",6840,"NLA12_IA-R02","6/28/2012",1,"IA","ntl",2.245,"NLA 2012"
"4058",6840,"NLA12_IA-R02","6/28/2012",1,"IA","ptl",208,"NLA 2012"
"4059",6840,"NLA12_IA-R02","6/28/2012",1,"IA","turb",31.79,"NLA 2012"
"4060",6783,"NLA12_IA-R03","6/26/2012",1,"IA","ntl",0.48,"NLA 2012"
"4061",6783,"NLA12_IA-R03","6/26/2012",1,"IA","ptl",16,"NLA 2012"
"4062",6783,"NLA12_IA-R03","6/26/2012",1,"IA","turb",1.57,"NLA 2012"
"4063",6959,"NLA12_ID-101","7/2/2012",1,"ID","ntl",0.14,"NLA 2012"
"4064",6959,"NLA12_ID-101","7/2/2012",1,"ID","ptl",56,"NLA 2012"
"4065",6959,"NLA12_ID-101","7/2/2012",1,"ID","turb",0.92,"NLA 2012"
"4066",7761,"NLA12_ID-101","8/7/2012",2,"ID","ntl",0.311,"NLA 2012"
"4067",7761,"NLA12_ID-101","8/7/2012",2,"ID","ptl",63,"NLA 2012"
"4068",7761,"NLA12_ID-101","8/7/2012",2,"ID","turb",3.18,"NLA 2012"
"4069",7164,"NLA12_ID-102","7/13/2012",1,"ID","ntl",0.173,"NLA 2012"
"4070",7164,"NLA12_ID-102","7/13/2012",1,"ID","ptl",29,"NLA 2012"
"4071",7164,"NLA12_ID-102","7/13/2012",1,"ID","turb",0.45,"NLA 2012"
"4072",1000069,"NLA12_ID-103","7/14/2012",1,"ID","ntl",0.196,"NLA 2012"
"4073",1000069,"NLA12_ID-103","7/14/2012",1,"ID","ptl",35,"NLA 2012"
"4074",1000069,"NLA12_ID-103","7/14/2012",1,"ID","turb",1.3,"NLA 2012"
"4075",7671,"NLA12_ID-104","8/2/2012",1,"ID","ntl",1.636,"NLA 2012"
"4076",7671,"NLA12_ID-104","8/2/2012",1,"ID","ptl",147,"NLA 2012"
"4077",7671,"NLA12_ID-104","8/2/2012",1,"ID","turb",16.88,"NLA 2012"
"4078",7189,"NLA12_ID-105","7/13/2012",1,"ID","ntl",0.478,"NLA 2012"
"4079",7189,"NLA12_ID-105","7/13/2012",1,"ID","ptl",29,"NLA 2012"
"4080",7189,"NLA12_ID-105","7/13/2012",1,"ID","turb",1.17,"NLA 2012"
"4081",1000019,"NLA12_ID-107","6/25/2012",1,"ID","ntl",0.895,"NLA 2012"
"4082",1000019,"NLA12_ID-107","6/25/2012",1,"ID","ptl",383,"NLA 2012"
"4083",1000019,"NLA12_ID-107","6/25/2012",1,"ID","turb",28.52,"NLA 2012"
"4084",7167,"NLA12_ID-108","7/13/2012",1,"ID","ntl",0.095,"NLA 2012"
"4085",7167,"NLA12_ID-108","7/13/2012",1,"ID","ptl",22,"NLA 2012"
"4086",7167,"NLA12_ID-108","7/13/2012",1,"ID","turb",0.97,"NLA 2012"
"4087",1000029,"NLA12_ID-109","6/27/2012",1,"ID","ntl",0.23,"NLA 2012"
"4088",1000029,"NLA12_ID-109","6/27/2012",1,"ID","ptl",41,"NLA 2012"
"4089",1000029,"NLA12_ID-109","6/27/2012",1,"ID","turb",4.46,"NLA 2012"
"4090",7549,"NLA12_ID-110","7/30/2012",1,"ID","ntl",0.954,"NLA 2012"
"4091",7549,"NLA12_ID-110","7/30/2012",1,"ID","ptl",44,"NLA 2012"
"4092",7549,"NLA12_ID-110","7/30/2012",1,"ID","turb",1.34,"NLA 2012"
"4093",1000030,"NLA12_ID-111","6/28/2012",1,"ID","ntl",0.465,"NLA 2012"
"4094",1000030,"NLA12_ID-111","6/28/2012",1,"ID","ptl",84,"NLA 2012"
"4095",1000030,"NLA12_ID-111","6/28/2012",1,"ID","turb",4.33,"NLA 2012"
"4096",7163,"NLA12_ID-112","7/12/2012",1,"ID","ntl",0.256,"NLA 2012"
"4097",7163,"NLA12_ID-112","7/12/2012",1,"ID","ptl",41,"NLA 2012"
"4098",7163,"NLA12_ID-112","7/12/2012",1,"ID","turb",0.98,"NLA 2012"
"4099",7913,"NLA12_ID-112","8/14/2012",2,"ID","ntl",0.31,"NLA 2012"
"4100",7913,"NLA12_ID-112","8/14/2012",2,"ID","ptl",54,"NLA 2012"
"4101",7913,"NLA12_ID-112","8/14/2012",2,"ID","turb",0.84,"NLA 2012"
"4102",6958,"NLA12_ID-113","7/3/2012",1,"ID","ntl",0.329,"NLA 2012"
"4103",6958,"NLA12_ID-113","7/3/2012",1,"ID","ptl",34,"NLA 2012"
"4104",6958,"NLA12_ID-113","7/3/2012",1,"ID","turb",1.65,"NLA 2012"
"4105",7188,"NLA12_ID-121","7/14/2012",1,"ID","ntl",0.149,"NLA 2012"
"4106",7188,"NLA12_ID-121","7/14/2012",1,"ID","ptl",65,"NLA 2012"
"4107",7188,"NLA12_ID-121","7/14/2012",1,"ID","turb",0.92,"NLA 2012"
"4108",7588,"NLA12_ID-122","7/31/2012",1,"ID","ntl",1.04,"NLA 2012"
"4109",7588,"NLA12_ID-122","7/31/2012",1,"ID","ptl",82,"NLA 2012"
"4110",7588,"NLA12_ID-122","7/31/2012",1,"ID","turb",7.41,"NLA 2012"
"4111",6940,"NLA12_ID-141","7/3/2012",1,"ID","ntl",0.125,"NLA 2012"
"4112",6940,"NLA12_ID-141","7/3/2012",1,"ID","ptl",36,"NLA 2012"
"4113",6940,"NLA12_ID-141","7/3/2012",1,"ID","turb",0.88,"NLA 2012"
"4114",7477,"NLA12_ID-142","7/27/2012",1,"ID","ntl",0.053,"NLA 2012"
"4115",7477,"NLA12_ID-142","7/27/2012",1,"ID","ptl",15,"NLA 2012"
"4116",7477,"NLA12_ID-142","7/27/2012",1,"ID","turb",0.05,"NLA 2012"
"4117",1000122,"NLA12_ID-143","8/6/2012",1,"ID","ntl",0.72,"NLA 2012"
"4118",1000122,"NLA12_ID-143","8/6/2012",1,"ID","ptl",68,"NLA 2012"
"4119",1000122,"NLA12_ID-143","8/6/2012",1,"ID","turb",3.97,"NLA 2012"
"4120",7413,"NLA12_ID-145","7/23/2012",1,"ID","ntl",0.029,"NLA 2012"
"4121",7413,"NLA12_ID-145","7/23/2012",1,"ID","ptl",23,"NLA 2012"
"4122",7413,"NLA12_ID-145","7/23/2012",1,"ID","turb",0.16,"NLA 2012"
"4123",1000068,"NLA12_ID-148","7/16/2012",1,"ID","ntl",0.303,"NLA 2012"
"4124",1000068,"NLA12_ID-148","7/16/2012",1,"ID","ptl",77,"NLA 2012"
"4125",1000068,"NLA12_ID-148","7/16/2012",1,"ID","turb",2.66,"NLA 2012"
"4126",1000067,"NLA12_ID-149","7/15/2012",1,"ID","ntl",1.048,"NLA 2012"
"4127",1000067,"NLA12_ID-149","7/15/2012",1,"ID","ptl",85,"NLA 2012"
"4128",1000067,"NLA12_ID-149","7/15/2012",1,"ID","turb",3.94,"NLA 2012"
"4129",1000025,"NLA12_ID-151","6/27/2012",1,"ID","ntl",7.844,"NLA 2012"
"4130",1000025,"NLA12_ID-151","6/27/2012",1,"ID","ptl",705,"NLA 2012"
"4131",1000025,"NLA12_ID-151","6/27/2012",1,"ID","turb",24.71,"NLA 2012"
"4132",7478,"NLA12_ID-158","7/26/2012",1,"ID","ntl",0.033,"NLA 2012"
"4133",7478,"NLA12_ID-158","7/26/2012",1,"ID","ptl",9,"NLA 2012"
